기업명,연도,보고서유형,성별,정규직,계약직,총급여
AK홀딩스,2022,반기보고서,남,0.0,0.0,711000000.0
AK홀딩스,2022,반기보고서,여,0.0,0.0,122000000.0
AK홀딩스,2022,사업보고서,남,0.0,0.0,1467000000.0
AK홀딩스,2022,사업보고서,여,0.0,0.0,303000000.0
AK홀딩스,2023,반기보고서,남,0.0,0.0,973000000.0
AK홀딩스,2023,반기보고서,여,0.0,0.0,98000000.0
AK홀딩스,2023,사업보고서,남,0.0,0.0,2017000000.0
AK홀딩스,2023,사업보고서,여,0.0,0.0,209000000.0
BNK금융지주,2022,반기보고서,남,0.0,0.0,9624000000.0
BNK금융지주,2022,반기보고서,여,0.0,0.0,603000000.0
BNK금융지주,2022,사업보고서,남,0.0,0.0,17129000000.0
BNK금융지주,2022,사업보고서,여,0.0,0.0,1160000000.0
BNK금융지주,2023,반기보고서,남,0.0,0.0,10810000000.0
BNK금융지주,2023,반기보고서,여,0.0,0.0,615000000.0
BNK금융지주,2023,사업보고서,남,0.0,0.0,18400000000.0
BNK금융지주,2023,사업보고서,여,0.0,0.0,1216000000.0
BYC,2022,반기보고서,남,0.0,0.0,6108779000.0
BYC,2022,반기보고서,여,0.0,0.0,4184595000.0
BYC,2022,사업보고서,남,0.0,0.0,12591187000.0
BYC,2022,사업보고서,여,0.0,0.0,8683963000.0
BYC,2023,반기보고서,남,0.0,0.0,6245887000.0
BYC,2023,반기보고서,여,0.0,0.0,4478885000.0
BYC,2023,사업보고서,남,0.0,0.0,12658810000.0
BYC,2023,사업보고서,여,0.0,0.0,9268688000.0
CJ,2022,반기보고서,남,0.0,0.0,7915000000.0
CJ,2022,반기보고서,여,0.0,0.0,1207000000.0
CJ,2022,사업보고서,남,0.0,0.0,34803000000.0
CJ,2022,사업보고서,여,0.0,0.0,3187000000.0
CJ,2023,반기보고서,남,0.0,0.0,9356000000.0
CJ,2023,반기보고서,여,0.0,0.0,1086000000.0
CJ,2023,사업보고서,남,0.0,0.0,34354000000.0
CJ,2023,사업보고서,여,0.0,0.0,3161000000.0
CJ CGV,2022,반기보고서,남,0.0,0.0,14596000000.0
CJ CGV,2022,반기보고서,여,0.0,0.0,13587000000.0
CJ CGV,2022,사업보고서,남,0.0,0.0,28707000000.0
CJ CGV,2022,사업보고서,여,0.0,0.0,27121000000.0
CJ CGV,2023,반기보고서,남,0.0,0.0,14344000000.0
CJ CGV,2023,반기보고서,여,0.0,0.0,14209000000.0
CJ CGV,2023,사업보고서,남,0.0,0.0,28370000000.0
CJ CGV,2023,사업보고서,여,0.0,0.0,28337000000.0
CJ대한통운,2022,반기보고서,남,0.0,0.0,177274000000.0
CJ대한통운,2022,반기보고서,여,0.0,0.0,23267000000.0
CJ대한통운,2022,사업보고서,남,0.0,0.0,420294000000.0
CJ대한통운,2022,사업보고서,여,0.0,0.0,56398000000.0
CJ대한통운,2023,반기보고서,남,0.0,0.0,199108000000.0
CJ대한통운,2023,반기보고서,여,0.0,0.0,27959000000.0
CJ대한통운,2023,사업보고서,남,0.0,0.0,470887000000.0
CJ대한통운,2023,사업보고서,여,0.0,0.0,60061000000.0
CJ씨푸드,2022,반기보고서,남,0.0,0.0,5076000000.0
CJ씨푸드,2022,반기보고서,여,0.0,0.0,3601000000.0
CJ씨푸드,2022,사업보고서,남,0.0,0.0,12061000000.0
CJ씨푸드,2022,사업보고서,여,0.0,0.0,7921000000.0
CJ씨푸드,2023,반기보고서,남,0.0,0.0,5460000000.0
CJ씨푸드,2023,반기보고서,여,0.0,0.0,3515000000.0
CJ씨푸드,2023,사업보고서,남,0.0,0.0,10666000000.0
CJ씨푸드,2023,사업보고서,여,0.0,0.0,6706000000.0
CJ제일제당,2022,반기보고서,남,0.0,0.0,192587000000.0
CJ제일제당,2022,반기보고서,여,0.0,0.0,65629000000.0
CJ제일제당,2022,사업보고서,남,0.0,0.0,472684000000.0
CJ제일제당,2022,사업보고서,여,0.0,0.0,162617000000.0
CJ제일제당,2023,반기보고서,남,0.0,0.0,210530000000.0
CJ제일제당,2023,반기보고서,여,0.0,0.0,75237000000.0
CJ제일제당,2023,사업보고서,남,0.0,0.0,470731000000.0
CJ제일제당,2023,사업보고서,여,0.0,0.0,167767000000.0
CS홀딩스,2022,반기보고서,남,0.0,0.0,268397000.0
CS홀딩스,2022,사업보고서,남,0.0,0.0,478321000.0
CS홀딩스,2023,반기보고서,남,0.0,0.0,172962000.0
CS홀딩스,2023,사업보고서,남,0.0,0.0,344307000.0
