종목코드,기업명,성별,사업부문,정규직,계약직,직원합,총급여,연도,보고서유형
00992871,종근당,남,-,-,-,"1,659","66,022,000,000",2022,반기보고서
00992871,종근당,여,-,-,-,762,"23,531,000,000",2022,반기보고서
00992871,종근당,남,-,-,-,"1,639","132,505,000,000",2022,사업보고서
00992871,종근당,여,-,-,-,757,"48,012,000,000",2022,사업보고서
00992871,종근당,남,-,-,-,"1,595","65,123,000,000",2023,반기보고서
00992871,종근당,여,-,-,-,730,"24,440,000,000",2023,반기보고서
00992871,종근당,남,-,-,-,"1,603","132,719,000,000",2023,사업보고서
00992871,종근당,여,-,-,-,721,"48,512,000,000",2023,사업보고서
00136402,신송홀딩스,남,홀딩스,-,-,11,"321,000,000",2022,반기보고서
00136402,신송홀딩스,여,홀딩스,-,-,2,"17,000,000",2022,반기보고서
00136402,신송홀딩스,남,홀딩스,-,-,13,"731,000,000",2022,사업보고서
00136402,신송홀딩스,여,홀딩스,-,-,2,"34,000,000",2022,사업보고서
00136402,신송홀딩스,남,홀딩스,-,-,12,"419,000,000",2023,반기보고서
00136402,신송홀딩스,여,홀딩스,-,-,2,"42,000,000",2023,반기보고서
00136402,신송홀딩스,남,홀딩스,-,-,15,"881,000,000",2023,사업보고서
00136402,신송홀딩스,여,홀딩스,-,-,2,"48,000,000",2023,사업보고서
00990165,아세아시멘트,남,시멘트,-,-,461,"18,878,588,000",2022,반기보고서
00990165,아세아시멘트,여,시멘트,-,-,22,"468,178,000",2022,반기보고서
00990165,아세아시멘트,남,시멘트,-,-,471,"43,541,555,000",2022,사업보고서
00990165,아세아시멘트,여,시멘트,-,-,22,"1,088,569,000",2022,사업보고서
00990165,아세아시멘트,남,시멘트,-,-,455,"19,593,514,000",2023,반기보고서
00990165,아세아시멘트,여,시멘트,-,-,22,"509,371,000",2023,반기보고서
00990165,아세아시멘트,남,시멘트,-,-,469,"44,219,725,000",2023,사업보고서
00990165,아세아시멘트,여,시멘트,-,-,23,"1,137,227,000",2023,사업보고서
00302926,현대로템,남,공통부문,-,-,359,"14,829,000,000",2022,반기보고서
00302926,현대로템,여,공통부문,-,-,35,"802,000,000",2022,반기보고서
00302926,현대로템,남,철도부문,-,-,"1,706","63,791,000,000",2022,반기보고서
00302926,현대로템,여,철도부문,-,-,48,"1,103,000,000",2022,반기보고서
00302926,현대로템,남,방산부문,-,-,915,"33,588,000,000",2022,반기보고서
00302926,현대로템,여,방산부문,-,-,16,"529,000,000",2022,반기보고서
00302926,현대로템,남,플랜트부문,-,-,332,"14,044,000,000",2022,반기보고서
00302926,현대로템,여,플랜트부문,-,-,5,"154,000,000",2022,반기보고서
00302926,현대로템,남,공통부문,-,-,376,"37,813,000,000",2022,사업보고서
00302926,현대로템,여,공통부문,-,-,38,"2,070,000,000",2022,사업보고서
00302926,현대로템,남,철도부문,-,-,"1,744","169,474,000,000",2022,사업보고서
00302926,현대로템,여,철도부문,-,-,51,"3,017,000,000",2022,사업보고서
00302926,현대로템,남,방산부문,-,-,"1,018","90,789,000,000",2022,사업보고서
00302926,현대로템,여,방산부문,-,-,28,"1,579,000,000",2022,사업보고서
00302926,현대로템,남,플랜트부문,-,-,332,"34,905,000,000",2022,사업보고서
00302926,현대로템,여,플랜트부문,-,-,4,"312,000,000",2022,사업보고서
00302926,현대로템,남,공통부문,-,-,381,"17,462,000,000",2023,반기보고서
00302926,현대로템,여,공통부문,-,-,45,"1,122,000,000",2023,반기보고서
00302926,현대로템,남,철도부문,-,-,"1,652","69,577,000,000",2023,반기보고서
00302926,현대로템,여,철도부문,-,-,65,"1,743,000,000",2023,반기보고서
00302926,현대로템,남,방산부문,-,-,"1,219","45,777,000,000",2023,반기보고서
00302926,현대로템,여,방산부문,-,-,40,"1,158,000,000",2023,반기보고서
00302926,현대로템,남,플랜트부문,-,-,358,"15,840,000,000",2023,반기보고서
00302926,현대로템,여,플랜트부문,-,-,6,"158,000,000",2023,반기보고서
00302926,현대로템,남,공통부문,-,-,398,"44,087,000,000",2023,사업보고서
00302926,현대로템,여,공통부문,-,-,53,"3,249,000,000",2023,사업보고서
00302926,현대로템,남,방산부문,-,-,"1,280","125,350,000,000",2023,사업보고서
00302926,현대로템,여,방산부문,-,-,41,"3,243,000,000",2023,사업보고서
00302926,현대로템,남,철도부문,-,-,"1,704","182,250,000,000",2023,사업보고서
00302926,현대로템,여,철도부문,-,-,72,"5,022,000,000",2023,사업보고서
00302926,현대로템,남,플랜트부문,-,-,380,"41,535,000,000",2023,사업보고서
00302926,현대로템,여,플랜트부문,-,-,10,"556,000,000",2023,사업보고서
00983040,한진칼,남,지주사업,-,-,20,"953,000,000",2022,반기보고서
00983040,한진칼,여,지주사업,-,-,4,"191,000,000",2022,반기보고서
00983040,한진칼,남,지주사업,-,-,22,"2,042,000,000",2022,사업보고서
00983040,한진칼,여,지주사업,-,-,5,"251,000,000",2022,사업보고서
00983040,한진칼,남,지주사업,-,-,21,"1,600,000,000",2023,반기보고서
00983040,한진칼,여,지주사업,-,-,5,"227,000,000",2023,반기보고서
00983040,한진칼,남,지주사업,-,-,21,"2,669,000,000",2023,사업보고서
00983040,한진칼,여,지주사업,-,-,5,"408,000,000",2023,사업보고서
00983271,NHN,남,전사,-,-,247,"20,328,405,000",2022,반기보고서
00983271,NHN,여,전사,-,-,248,"9,945,209,000",2022,반기보고서
00983271,NHN,남,전사,-,-,483,"34,862,915,000",2022,사업보고서
00983271,NHN,여,전사,-,-,391,"19,874,092,000",2022,사업보고서
00983271,NHN,남,전사,-,-,492,"23,121,496,000",2023,반기보고서
00983271,NHN,여,전사,-,-,401,"14,699,551,000",2023,반기보고서
00983271,NHN,남,전사,-,-,501,"44,406,494,000",2023,사업보고서
00983271,NHN,여,전사,-,-,398,"28,068,883,000",2023,사업보고서
00980122,JB금융지주,남,금융업,-,-,71,"5,968,000,000",2022,반기보고서
00980122,JB금융지주,여,금융업,-,-,15,"724,000,000",2022,반기보고서
00980122,JB금융지주,남,금융업,-,-,70,"11,517,000,000",2022,사업보고서
00980122,JB금융지주,여,금융업,-,-,16,"1,810,000,000",2022,사업보고서
00980122,JB금융지주,남,금융업,-,-,74,"6,531,000,000",2023,반기보고서
00980122,JB금융지주,여,금융업,-,-,23,"1,068,000,000",2023,반기보고서
00980122,JB금융지주,남,금융업,-,-,77,"13,187,000,000",2023,사업보고서
00980122,JB금융지주,여,금융업,-,-,22,"2,527,000,000",2023,사업보고서
00110608,DSR,남,전체,-,-,143,"6,292,166,000",2022,반기보고서
00110608,DSR,여,전체,-,-,26,"634,653,000",2022,반기보고서
