기업명,연도,보고서유형,매출액,영업이익
종근당,2022,반기보고서,"707,397,610,577","51,991,700,563"
종근당,2022,사업보고서,"1,488,344,728,646","109,906,061,531"
종근당,2023,반기보고서,"761,186,898,565","76,491,803,560"
종근당,2023,사업보고서,"1,669,404,438,769","246,599,279,042"
신송홀딩스,2022,반기보고서,"77,795,476,930","3,247,625,157"
신송홀딩스,2022,사업보고서,"209,403,828,091","8,574,416,656"
신송홀딩스,2023,반기보고서,"89,920,971,319","2,879,271,690"
신송홀딩스,2023,사업보고서,"193,419,654,722","8,381,489,448"
아세아시멘트,2022,반기보고서,"475,097,366,345","45,048,747,529"
아세아시멘트,2022,사업보고서,"1,040,145,906,143","117,970,811,813"
아세아시멘트,2023,반기보고서,"597,959,225,033","62,871,802,068"
아세아시멘트,2023,사업보고서,"1,200,454,909,494","146,886,630,781"
현대로템,2022,반기보고서,"1,463,225,592,000","54,988,947,000"
현대로템,2022,사업보고서,"3,163,343,615,000","147,486,669,000"
현대로템,2023,반기보고서,"1,671,253,049,000","99,149,524,000"
현대로템,2023,사업보고서,"3,587,382,453,000","210,046,594,000"
한진칼,2022,반기보고서,"86,241,900,579","2,288,461,513"
한진칼,2022,사업보고서,"200,336,082,220","14,487,192,387"
한진칼,2023,반기보고서,"128,501,411,518","25,424,548,583"
한진칼,2023,사업보고서,"275,726,817,725","42,843,084,229"
NHN,2022,반기보고서,"1,031,789,445,778","20,722,690,539"
NHN,2022,사업보고서,"2,114,869,816,089","39,053,530,657"
NHN,2023,반기보고서,"1,099,770,233,826","40,001,478,437"
NHN,2023,사업보고서,"2,269,614,866,943","55,598,405,513"
JB금융지주,2023,사업보고서,,
DSR,2022,반기보고서,"182,022,623,440","16,904,804,009"
DSR,2022,사업보고서,"367,456,836,231","35,774,891,408"
DSR,2023,반기보고서,"151,207,518,096","12,552,415,409"
DSR,2023,사업보고서,"291,095,086,618","24,261,853,627"
동아에스티,2022,반기보고서,"319,561,567,663","12,540,378,734"
동아에스티,2022,사업보고서,"635,392,682,732","16,672,741,081"
동아에스티,2023,반기보고서,"316,321,033,009","7,492,807,586"
동아에스티,2023,사업보고서,"663,980,368,109","11,178,462,374"
지엠비코리아,2022,반기보고서,"290,172,817,943","6,637,466,317"
지엠비코리아,2022,사업보고서,"610,506,109,979","11,123,016,383"
지엠비코리아,2023,반기보고서,"343,464,333,581","10,014,160,494"
지엠비코리아,2023,사업보고서,"690,905,792,852","20,566,629,966"
LG헬로비전,2022,반기보고서,"559,455,631,461","25,993,004,995"
LG헬로비전,2022,사업보고서,"1,167,867,997,994","53,800,859,859"
LG헬로비전,2023,반기보고서,"564,260,026,527","25,594,521,340"
LG헬로비전,2023,사업보고서,"1,190,257,448,844","47,352,193,560"
동일고무벨트,2022,반기보고서,"184,918,959,568","-503,293,378"
동일고무벨트,2022,사업보고서,"390,439,849,813","8,078,839,374"
동일고무벨트,2023,반기보고서,"180,770,153,583","8,116,546,325"
동일고무벨트,2023,사업보고서,"357,776,406,425","13,689,300,437"
한국콜마,2022,반기보고서,"913,147,685,291","46,549,466,822"
한국콜마,2022,사업보고서,"1,865,731,523,035","73,280,441,382"
한국콜마,2023,반기보고서,"1,087,398,648,301","67,731,005,147"
한국콜마,2023,사업보고서,"2,155,675,927,422","136,143,339,992"
한국타이어앤테크놀로지,2022,반기보고서,"3,830,653,370,011","301,343,148,271"
한국타이어앤테크놀로지,2022,사업보고서,"8,394,203,036,511","705,818,089,039"
한국타이어앤테크놀로지,2023,반기보고서,"4,367,534,656,550","439,159,326,824"
한국타이어앤테크놀로지,2023,사업보고서,"8,939,621,475,507","1,327,945,320,791"
애경케미칼,2022,반기보고서,"1,169,258,578,586","83,003,276,829"
애경케미칼,2022,사업보고서,"2,176,436,882,799","95,087,063,778"
애경케미칼,2023,반기보고서,"911,602,582,658","25,063,912,651"
애경케미칼,2023,사업보고서,"1,793,735,842,829","45,060,221,982"
사조씨푸드,2022,반기보고서,"103,682,464,907","9,251,466,931"
사조씨푸드,2022,사업보고서,"201,116,169,891","13,584,493,320"
사조씨푸드,2023,반기보고서,"87,130,378,973","-13,888,811,214"
사조씨푸드,2023,사업보고서,"176,023,865,603","-34,849,471,003"
휴비스,2022,반기보고서,"551,126,592,239","-27,270,882,054"
휴비스,2022,사업보고서,"1,021,725,981,973","-83,009,289,041"
휴비스,2023,반기보고서,"457,100,001,253","-34,123,821,850"
휴비스,2023,사업보고서,"927,679,169,915","-71,628,570,854"
케이탑리츠,2022,반기보고서,"6,347,154,843","4,125,046,640"
케이탑리츠,2022,사업보고서,"21,632,033,146","17,537,436,948"
케이탑리츠,2023,반기보고서,"6,593,667,752","4,261,102,840"
케이탑리츠,2023,사업보고서,"26,893,075,403","20,523,790,393"
GS리테일,2022,반기보고서,"5,400,361,876,827","67,665,440,749"
GS리테일,2022,사업보고서,"11,226,428,523,558","245,131,973,064"
GS리테일,2023,반기보고서,"5,658,011,766,043","143,771,998,339"
GS리테일,2023,사업보고서,"11,612,547,920,738","393,955,339,623"
인터지스,2022,반기보고서,"364,180,899,271","22,753,150,501"
인터지스,2022,사업보고서,"719,983,672,710","35,409,145,996"
인터지스,2023,반기보고서,"309,350,076,233","16,248,769,712"
인터지스,2023,사업보고서,"611,639,433,548","23,029,106,091"
삼양사,2022,반기보고서,"1,321,768,000,000","45,659,000,000"
삼양사,2022,사업보고서,"2,652,439,000,000","82,016,000,000"
삼양사,2023,반기보고서,"1,350,867,000,000","54,910,000,000"
삼양사,2023,사업보고서,"2,651,439,171,359","113,199,757,649"
하나투어,2022,반기보고서,"31,375,040,110","-63,404,995,008"
하나투어,2022,사업보고서,"114,969,462,998","-101,184,086,176"
하나투어,2023,반기보고서,"165,379,173,030","9,678,140,065"
하나투어,2023,사업보고서,"411,611,609,463","34,047,986,427"
에이블씨엔씨,2022,반기보고서,"121,644,077,601","2,987,075,102"
에이블씨엔씨,2022,사업보고서,"247,873,188,440","9,975,863,944"
에이블씨엔씨,2023,반기보고서,"137,702,934,143","7,873,038,510"
에이블씨엔씨,2023,사업보고서,"273,645,246,857","11,422,012,724"
삼원강재,2022,반기보고서,"175,179,404,181","7,574,445,548"
삼원강재,2022,사업보고서,"364,111,085,653","16,532,526,342"
삼원강재,2023,반기보고서,"176,720,989,689","6,644,201,415"
삼원강재,2023,사업보고서,"359,058,169,925","16,504,971,399"
신세계인터내셔날,2022,반기보고서,"736,112,595,825","71,815,946,653"
신세계인터내셔날,2022,사업보고서,"1,553,877,316,519","115,270,511,523"
신세계인터내셔날,2023,반기보고서,"646,007,524,441","28,675,672,328"
신세계인터내셔날,2023,사업보고서,"1,354,327,166,187","48,733,428,811"
에이리츠,2022,반기보고서,"391,651,235","-891,986,434"
에이리츠,2022,사업보고서,"790,391,095","-1,925,255,024"
에이리츠,2023,반기보고서,"452,681,450","-1,044,308,628"
에이리츠,2023,사업보고서,"1,623,391,276","-1,466,468,837"
한국항공우주,2022,반기보고서,"1,309,142,036,179","73,659,702,225"
한국항공우주,2022,사업보고서,"2,786,888,282,702","141,617,667,318"
한국항공우주,2023,반기보고서,"1,302,196,115,742","27,786,807,367"
한국항공우주,2023,사업보고서,"3,819,344,382,446","247,510,483,155"
롯데하이마트,2022,반기보고서,"1,728,673,985,094","-7,915,366,869"
롯데하이마트,2022,사업보고서,"3,336,820,850,782","-52,011,444,171"
롯데하이마트,2023,반기보고서,"1,305,726,182,674","-17,987,613,623"
롯데하이마트,2023,사업보고서,"2,610,137,030,353","8,223,020,506"
한세엠케이,2022,반기보고서,"96,839,163,313","-4,648,816,805"
한세엠케이,2022,사업보고서,"271,479,748,299","-21,130,809,388"
한세엠케이,2023,반기보고서,"165,807,003,533","-3,541,943,745"
한세엠케이,2023,사업보고서,"316,765,794,730","-4,219,075,103"
코오롱ENP,2022,반기보고서,"255,590,647,789","22,547,920,613"
코오롱ENP,2022,사업보고서,"518,075,861,606","46,041,896,346"
코오롱ENP,2023,반기보고서,"238,030,269,204","19,297,677,356"
코오롱ENP,2023,사업보고서,"456,198,067,019","33,813,729,102"
이마트,2022,반기보고서,"14,150,823,032,634","22,127,907,438"
이마트,2022,사업보고서,"29,332,413,845,888","135,651,681,895"
이마트,2023,반기보고서,"14,406,478,146,051","-39,351,050,213"
이마트,2023,사업보고서,"29,472,247,894,459","-46,935,431,343"
iM금융지주,2023,사업보고서,,
케이티스카이라이프,2022,반기보고서,,"49,009,462,149"
케이티스카이라이프,2022,사업보고서,,"63,195,741,120"
케이티스카이라이프,2023,반기보고서,,"35,257,408,278"
케이티스카이라이프,2023,사업보고서,,"14,067,496,354"
세아특수강,2022,반기보고서,"529,224,781,408","16,762,140,810"
세아특수강,2022,사업보고서,"1,074,355,051,797","28,815,275,301"
세아특수강,2023,반기보고서,"528,181,558,864","8,419,052,397"
세아특수강,2023,사업보고서,"1,029,295,896,117","9,048,844,451"
메리츠금융지주,2023,사업보고서,"58,558,358,469,900",
한국종합기술,2022,반기보고서,"133,167,215,350","3,087,690,165"
한국종합기술,2022,사업보고서,"283,702,516,162","5,425,716,889"
한국종합기술,2023,반기보고서,"149,417,731,954","1,794,996,590"
한국종합기술,2023,사업보고서,"376,919,437,380","3,992,264,949"
BNK금융지주,2023,사업보고서,,
롯데에너지머티리얼즈,2022,반기보고서,"388,494,330,628","46,790,689,148"
롯데에너지머티리얼즈,2022,사업보고서,"729,362,921,828","84,772,900,155"
롯데에너지머티리얼즈,2023,반기보고서,"361,797,326,613","7,638,474,844"
롯데에너지머티리얼즈,2023,사업보고서,"809,006,057,001","11,805,382,266"
현대위아,2022,반기보고서,"3,878,590,000,000","104,596,000,000"
현대위아,2022,사업보고서,"8,207,614,000,000","212,115,000,000"
현대위아,2023,반기보고서,"4,380,091,000,000","116,131,000,000"
현대위아,2023,사업보고서,"8,590,316,000,000","229,216,000,000"
선진,2022,반기보고서,"1,047,136,998,751","51,510,986,768"
선진,2022,사업보고서,"1,870,781,185,636","70,603,246,898"
선진,2023,반기보고서,"963,331,801,247","51,874,464,591"
선진,2023,사업보고서,"1,906,005,301,125","97,522,940,188"
미원화학,2022,반기보고서,"116,800,218,031","9,196,558,401"
미원화학,2022,사업보고서,"235,165,568,356","18,983,200,277"
미원화학,2023,반기보고서,"117,033,205,109","13,044,235,052"
미원화학,2023,사업보고서,"232,615,760,275","24,913,393,981"
시디즈,2022,반기보고서,"132,759,020,328","2,018,993,995"
시디즈,2022,사업보고서,"243,320,658,371","40,885,780"
시디즈,2023,반기보고서,"105,314,932,845","113,500,372"
시디즈,2023,사업보고서,"200,135,778,002","-1,927,437,377"
한화엔진,2022,반기보고서,"364,307,225,882","-33,088,074,234"
한화엔진,2022,사업보고서,"764,242,847,008","-29,534,217,363"
한화엔진,2023,반기보고서,"388,392,538,432","7,547,471,248"
한화엔진,2023,사업보고서,"854,384,414,147","8,728,565,174"
대성에너지,2022,반기보고서,"498,987,977,977","18,958,464,209"
대성에너지,2022,사업보고서,"1,020,936,453,937","938,738,843"
대성에너지,2023,반기보고서,"558,950,113,982","14,641,043,590"
대성에너지,2023,사업보고서,"999,533,749,249","20,391,954,237"
현대퓨처넷,2022,반기보고서,"84,458,248,469","8,831,028,964"
현대퓨처넷,2022,사업보고서,"154,213,235,046","9,517,380,912"
현대퓨처넷,2023,반기보고서,"87,411,341,225","5,238,316,744"
현대퓨처넷,2023,사업보고서,"168,614,989,877","2,453,177,248"
KTis,2022,반기보고서,"260,534,227,791","14,194,684,046"
KTis,2022,사업보고서,"535,783,305,933","19,544,619,038"
KTis,2023,반기보고서,"287,211,002,414","12,780,721,144"
KTis,2023,사업보고서,"592,959,670,727","20,525,095,481"
한전산업,2022,반기보고서,"166,146,952,114","12,009,365,919"
한전산업,2022,사업보고서,"346,042,225,300","18,651,295,433"
한전산업,2023,반기보고서,"181,661,051,954","15,750,949,361"
한전산업,2023,사업보고서,"363,261,295,971","26,038,104,194"
엘브이엠씨,2022,반기보고서,"108,361,578","2,574,752"
엘브이엠씨,2022,사업보고서,"192,947,521","-11,162,077"
엘브이엠씨,2023,반기보고서,"117,048,187","-8,311,121"
엘브이엠씨,2023,사업보고서,"199,528,253","-11,956,674"
미스토홀딩스,2022,반기보고서,"2,245,466,134,620","321,183,350,193"
미스토홀딩스,2022,사업보고서,"4,221,750,126,628","435,072,372,234"
미스토홀딩스,2023,반기보고서,"2,255,605,157,120","252,321,685,191"
미스토홀딩스,2023,사업보고서,"4,006,627,455,519","303,493,542,620"
KTcs,2022,반기보고서,"494,581,635,698","13,537,496,457"
KTcs,2022,사업보고서,"1,029,466,970,045","24,326,774,606"
KTcs,2023,반기보고서,"470,983,758,754","11,992,663,573"
KTcs,2023,사업보고서,"1,035,365,640,322","18,723,573,550"
현대홈쇼핑,2022,반기보고서,"1,113,729,419,659","65,945,529,866"
현대홈쇼핑,2022,사업보고서,"2,101,667,569,062","110,640,961,829"
현대홈쇼핑,2023,반기보고서,"1,017,192,275,812","34,448,058,549"
현대홈쇼핑,2023,사업보고서,"2,064,457,266,714","59,952,400,171"
도화엔지니어링,2022,반기보고서,"252,591,106,155","5,045,114,246"
도화엔지니어링,2022,사업보고서,"555,824,251,958","11,939,896,822"
도화엔지니어링,2023,반기보고서,"260,916,561,824","5,730,062,363"
도화엔지니어링,2023,사업보고서,"574,990,699,821","21,891,969,353"
대성산업,2022,반기보고서,"867,442,731,418","17,300,644,252"
대성산업,2022,사업보고서,"1,871,305,784,976","48,301,486,163"
대성산업,2023,반기보고서,"831,369,764,442","7,056,943,676"
대성산업,2023,사업보고서,"1,608,088,520,653","29,449,898,866"
아이마켓코리아,2022,반기보고서,"1,687,388,459,224","25,915,235,621"
아이마켓코리아,2022,사업보고서,"3,588,174,695,943","56,299,267,838"
아이마켓코리아,2023,반기보고서,"1,690,435,785,596","27,343,164,532"
아이마켓코리아,2023,사업보고서,"3,425,595,997,363","51,107,089,826"
한미약품,2022,반기보고서,"638,226,033,795","72,439,878,762"
한미약품,2022,사업보고서,"1,331,546,600,126","158,090,311,455"
한미약품,2023,반기보고서,"703,923,545,670","93,073,555,332"
한미약품,2023,사업보고서,"1,490,887,463,726","220,691,065,020"
우진,2022,반기보고서,"56,507,479,846","4,560,795,521"
우진,2022,사업보고서,"124,056,658,737","11,894,433,807"
우진,2023,반기보고서,"64,397,125,765","11,864,229,313"
우진,2023,사업보고서,"129,059,322,239","15,365,138,090"
무학,2022,반기보고서,"77,498,396,680","6,669,386,309"
무학,2022,사업보고서,"152,832,444,811","15,643,137,742"
무학,2023,반기보고서,"75,834,157,950","9,447,463,405"
무학,2023,사업보고서,"146,573,700,822","16,162,941,974"
이연제약,2022,반기보고서,"76,771,224,684","2,997,130,504"
이연제약,2022,사업보고서,"154,038,839,268","9,633,099,174"
이연제약,2023,반기보고서,"74,775,720,683","5,011,687,398"
이연제약,2023,사업보고서,"151,071,143,910","4,033,629,819"
한국화장품,2022,반기보고서,"35,127,223,351","290,609,580"
한국화장품,2022,사업보고서,"66,046,677,154","-23,014,169"
한국화장품,2023,반기보고서,"37,808,512,408","2,542,915,825"
한국화장품,2023,사업보고서,"78,712,916,916","3,054,862,344"
에스제이엠,2022,반기보고서,"80,718,511,038","1,256,782,370"
에스제이엠,2022,사업보고서,"180,237,704,926","7,087,029,001"
에스제이엠,2023,반기보고서,"97,388,335,710","7,999,244,409"
에스제이엠,2023,사업보고서,"198,880,157,404","13,231,441,622"
HL홀딩스,2022,반기보고서,"613,795,637,803","80,155,562,007"
HL홀딩스,2022,사업보고서,"1,277,106,070,054","85,846,922,824"
HL홀딩스,2023,반기보고서,"684,884,426,108","96,297,256,137"
HL홀딩스,2023,사업보고서,"1,285,533,416,647","92,173,966,184"
삼성생명,2023,사업보고서,,
신세계푸드,2022,반기보고서,"677,627,510,046","12,473,374,257"
신세계푸드,2022,사업보고서,"1,411,305,169,297","20,577,349,768"
신세계푸드,2023,반기보고서,"719,288,315,418","12,568,334,089"
신세계푸드,2023,사업보고서,"1,488,920,671,051","26,424,244,975"
한화생명,2023,사업보고서,,
조선선재,2022,반기보고서,"33,783,371,346","4,632,577,060"
조선선재,2022,사업보고서,"66,976,160,497","9,435,412,968"
조선선재,2023,반기보고서,"34,064,886,469","4,962,561,778"
조선선재,2023,사업보고서,"66,614,293,267","10,580,671,009"
코오롱인더,2022,반기보고서,"2,662,961,307,965","152,403,533,459"
코오롱인더,2022,사업보고서,"5,367,473,556,072","242,496,098,882"
코오롱인더,2023,반기보고서,"2,576,410,313,310","94,712,480,768"
코오롱인더,2023,사업보고서,"5,061,157,921,399","157,625,474,066"
KC코트렐,2022,반기보고서,"196,569,838,114","1,477,797,770"
KC코트렐,2022,사업보고서,"421,583,746,860","3,629,851,717"
KC코트렐,2023,반기보고서,"228,899,577,207","1,524,842,299"
KC코트렐,2023,사업보고서,"436,615,281,950","-21,089,869,641"
지역난방공사,2022,반기보고서,"1,926,289,514,929","-220,418,388,836"
지역난방공사,2022,사업보고서,"4,173,027,136,426","-403,893,693,760"
지역난방공사,2023,반기보고서,"2,307,890,268,102","-134,243,788,469"
지역난방공사,2023,사업보고서,"3,953,697,605,651","314,719,522,031"
영흥,2022,반기보고서,"235,404,727,552","3,779,883,095"
영흥,2022,사업보고서,"527,368,738,331","4,226,983,642"
영흥,2023,반기보고서,"255,878,282,532","-463,196,988"
영흥,2023,사업보고서,"500,010,556,155","1,252,474,881"
메타케어,2022,반기보고서,"10,249,743,430","-103,248,595"
메타케어,2022,사업보고서,"19,098,326,977","-300,469,614"
메타케어,2023,반기보고서,"20,747,371,690","-1,295,282,046"
메타케어,2023,사업보고서,"55,750,068,754","-8,903,733,352"
한전기술,2022,반기보고서,"202,943,092,646","1,127,093,935"
한전기술,2022,사업보고서,"505,290,773,062","13,940,025,562"
한전기술,2023,반기보고서,"228,508,967,572","21,211,935,614"
한전기술,2023,사업보고서,"545,091,772,616","28,562,398,334"
GKL,2022,반기보고서,"94,940,474,401","-23,937,354,041"
GKL,2022,사업보고서,"262,110,551,065","-13,917,278,200"
GKL,2023,반기보고서,"209,395,560,277","38,224,502,201"
GKL,2023,사업보고서,"396,693,647,873","51,017,881,015"
SK,2022,반기보고서,"64,091,393,000,000","6,631,121,000,000"
SK,2022,사업보고서,"134,551,641,000,000","8,004,710,000,000"
SK,2023,반기보고서,"64,625,805,000,000","1,825,509,000,000"
SK,2023,사업보고서,"131,237,878,000,000","5,056,378,000,000"
