기업명,연도,보고서유형,매출액,영업이익
종근당,2024,반기보고서,"758,304,634,404","66,672,080,808"
종근당,2024,사업보고서,"1,586,430,795,630","99,461,546,115"
신송홀딩스,2024,반기보고서,"66,454,952,473","2,317,882,719"
신송홀딩스,2024,사업보고서,"164,580,506,815","8,401,885,993"
아세아시멘트,2024,반기보고서,"569,312,259,814","89,502,997,914"
아세아시멘트,2024,사업보고서,"1,110,338,447,000","140,751,172,000"
현대로템,2024,반기보고서,"1,842,306,463,000","157,446,128,000"
현대로템,2024,사업보고서,"4,376,597,857,000","456,565,534,000"
한진칼,2024,반기보고서,"139,980,871,381","27,383,960,205"
한진칼,2024,사업보고서,"292,157,342,000","49,192,742,000"
NHN,2024,반기보고서,"1,203,798,841,699","55,763,566,709"
NHN,2024,사업보고서,"2,456,107,865,377","-32,619,646,834"
JB금융지주,2024,반기보고서,,
JB금융지주,2024,사업보고서,,
DSR,2024,반기보고서,"143,574,875,414","10,259,426,504"
DSR,2024,사업보고서,"299,809,123,352","15,340,514,051"
동아에스티,2024,반기보고서,"327,746,263,185","-22,081,723,570"
동아에스티,2024,사업보고서,"697,869,071,451","-25,002,030,853"
지엠비코리아,2024,반기보고서,"365,464,201,124","11,027,263,813"
지엠비코리아,2024,사업보고서,"726,708,233,618","22,684,759,351"
LG헬로비전,2024,반기보고서,"550,807,551,061","11,514,536,974"
LG헬로비전,2024,사업보고서,"1,196,435,375,181","13,472,973,352"
동일고무벨트,2024,반기보고서,"180,420,151,303","8,685,283,234"
동일고무벨트,2024,사업보고서,"336,983,162,562","9,586,743,700"
한국콜마,2024,반기보고서,"1,235,060,812,757","104,170,837,118"
한국콜마,2024,사업보고서,"2,452,063,980,463","193,850,424,348"
한국타이어앤테크놀로지,2024,반기보고서,"4,445,157,172,355","818,780,995,309"
한국타이어앤테크놀로지,2024,사업보고서,"9,411,947,926,996","1,762,260,288,101"
애경케미칼,2024,반기보고서,"856,829,444,579","11,682,746,207"
애경케미칼,2024,사업보고서,"1,642,244,565,944","15,459,352,752"
사조씨푸드,2024,반기보고서,"92,211,172,292","5,019,268,844"
사조씨푸드,2024,사업보고서,"188,281,808,578","9,520,883,434"
휴비스,2024,반기보고서,"464,522,367,879","-11,999,026,468"
휴비스,2024,사업보고서,"939,427,591,658","-38,254,879,526"
케이탑리츠,2024,반기보고서,"4,592,685,995","2,347,969,277"
케이탑리츠,2024,사업보고서,"12,087,791,146","7,917,272,243"
GS리테일,2024,반기보고서,"5,638,178,038,404","130,756,275,947"
GS리테일,2024,사업보고서,"11,626,920,274,913","239,104,876,913"
인터지스,2024,반기보고서,"336,737,930,745","12,248,508,857"
인터지스,2024,사업보고서,"701,171,841,541","23,864,084,101"
삼양사,2024,반기보고서,"1,366,794,561,175","82,717,949,712"
삼양사,2024,사업보고서,"2,671,821,461,625","133,523,122,893"
하나투어,2024,반기보고서,"315,003,941,539","25,295,119,597"
하나투어,2024,사업보고서,"616,606,993,658","50,919,001,973"
에이블씨엔씨,2024,반기보고서,"132,526,513,279","10,256,789,690"
에이블씨엔씨,2024,사업보고서,"263,998,147,507","19,728,063,227"
삼원강재,2024,반기보고서,"178,818,915,795","6,502,668,760"
삼원강재,2024,사업보고서,"343,558,905,658","11,756,354,957"
신세계인터내셔날,2024,반기보고서,"630,341,207,489","24,462,845,197"
신세계인터내셔날,2024,사업보고서,"1,308,633,993,458","26,839,827,864"
에이리츠,2024,반기보고서,"3,469,994,272","-797,625,291"
에이리츠,2024,사업보고서,"4,525,159,331","-1,201,762,496"
한국항공우주,2024,반기보고서,"1,631,732,050,956","122,307,968,195"
한국항공우주,2024,사업보고서,"3,633,742,105,840","240,718,310,400"
롯데하이마트,2024,반기보고서,"1,114,410,199,213","-13,256,393,438"
롯데하이마트,2024,사업보고서,"2,356,656,539,880","1,720,857,840"
한세엠케이,2024,반기보고서,"132,397,436,655","-4,540,288,841"
한세엠케이,2024,사업보고서,"256,274,313,437","-21,615,548,841"
코오롱ENP,2024,반기보고서,"244,073,622,442","20,237,957,450"
코오롱ENP,2024,사업보고서,"486,210,364,232","39,767,482,517"
이마트,2024,반기보고서,"14,262,699,165,737","12,467,249,025"
이마트,2024,사업보고서,"29,020,896,860,848","47,098,144,142"
iM금융지주,2024,반기보고서,,
iM금융지주,2024,사업보고서,,
케이티스카이라이프,2024,반기보고서,,"2,710,713,316"
케이티스카이라이프,2024,사업보고서,,"-1,075,800,064"
세아특수강,2024,반기보고서,"509,042,641,718","12,603,481,890"
세아특수강,2024,사업보고서,"1,008,676,692,070","22,956,958,016"
메리츠금융지주,2024,반기보고서,"23,786,599,167,197",
메리츠금융지주,2024,사업보고서,"46,574,506,350,960",
한국종합기술,2024,반기보고서,"191,656,960,716","382,493,906"
