기업명,연도,보고서유형,성별,정규직,계약직,총급여
AK홀딩스,2016,반기보고서,남,12.0,0.0,562000000.0
AK홀딩스,2016,반기보고서,여,2.0,0.0,69000000.0
AK홀딩스,2016,사업보고서,남,12.0,0.0,1090000000.0
AK홀딩스,2016,사업보고서,여,2.0,0.0,154000000.0
AK홀딩스,2017,반기보고서,남,13.0,1.0,609000000.0
AK홀딩스,2017,반기보고서,여,2.0,0.0,67000000.0
AK홀딩스,2017,사업보고서,남,12.0,1.0,1183000000.0
AK홀딩스,2017,사업보고서,여,2.0,0.0,149000000.0
AK홀딩스,2018,반기보고서,남,13.0,0.0,800000000.0
AK홀딩스,2018,반기보고서,여,5.0,0.0,169000000.0
AK홀딩스,2018,사업보고서,남,14.0,1.0,1667000000.0
AK홀딩스,2018,사업보고서,여,3.0,0.0,146000000.0
AK홀딩스,2019,반기보고서,남,11.0,1.0,524000000.0
AK홀딩스,2019,반기보고서,여,2.0,0.0,86000000.0
AK홀딩스,2019,사업보고서,남,15.0,1.0,1103000000.0
AK홀딩스,2019,사업보고서,여,4.0,0.0,199000000.0
AK홀딩스,2020,반기보고서,남,14.0,1.0,709000000.0
AK홀딩스,2020,반기보고서,여,6.0,0.0,184000000.0
AK홀딩스,2020,사업보고서,남,15.0,1.0,1518000000.0
AK홀딩스,2020,사업보고서,여,5.0,0.0,376000000.0
AK홀딩스,2021,반기보고서,남,14.0,1.0,840000000.0
AK홀딩스,2021,반기보고서,여,4.0,0.0,223000000.0
AK홀딩스,2021,사업보고서,남,15.0,1.0,1710000000.0
AK홀딩스,2021,사업보고서,여,3.0,0.0,319000000.0
AK홀딩스,2022,반기보고서,남,16.0,1.0,711000000.0
AK홀딩스,2022,반기보고서,여,4.0,0.0,122000000.0
AK홀딩스,2022,사업보고서,남,18.0,1.0,1467000000.0
AK홀딩스,2022,사업보고서,여,4.0,0.0,303000000.0
AK홀딩스,2023,반기보고서,남,18.0,1.0,973000000.0
AK홀딩스,2023,반기보고서,여,3.0,0.0,98000000.0
AK홀딩스,2023,사업보고서,남,19.0,1.0,2017000000.0
AK홀딩스,2023,사업보고서,여,3.0,0.0,209000000.0
AK홀딩스,2024,반기보고서,남,20.0,0.0,1175000000.0
AK홀딩스,2024,반기보고서,여,3.0,0.0,121000000.0
AK홀딩스,2024,사업보고서,남,18.0,0.0,1849000000.0
AK홀딩스,2024,사업보고서,여,3.0,0.0,225000000.0
BNK금융지주,2016,반기보고서,남,79.0,10.0,3758000000.0
BNK금융지주,2016,반기보고서,여,8.0,0.0,153000000.0
BNK금융지주,2016,사업보고서,남,78.0,6.0,7171000000.0
BNK금융지주,2016,사업보고서,여,8.0,0.0,347000000.0
BNK금융지주,2017,반기보고서,남,85.0,10.0,3694000000.0
BNK금융지주,2017,반기보고서,여,10.0,3.0,236000000.0
BNK금융지주,2017,사업보고서,남,97.0,12.0,7173000000.0
BNK금융지주,2017,사업보고서,여,14.0,7.0,614000000.0
BNK금융지주,2018,반기보고서,남,110.0,18.0,5722000000.0
BNK금융지주,2018,반기보고서,여,16.0,6.0,640000000.0
