기업명,연도,보고서유형,평균급여,남성직원수,여성직원수,정규직수,계약직수,남성정규직수,남성계약직수,여성정규직수,여성계약직수,평균급여증감율,남성직원수증감율,여성직원수증감율,정규직수증감율,계약직수증감율,남성정규직수증감율,남성계약직수증감율,여성정규직수증감율,여성계약직수증감율
AK홀딩스,2016,반기보고서,45071428.571428575,12.0,2.0,14.0,0.0,12.0,0.0,2.0,0.0,,,,,,,,,
AK홀딩스,2016,사업보고서,43785714.28571428,12.0,2.0,14.0,0.0,12.0,0.0,2.0,0.0,-2.8526148969889182,0.0,0.0,0.0,,0.0,,0.0,
AK홀딩스,2017,반기보고서,42250000.0,14.0,2.0,15.0,1.0,13.0,1.0,2.0,0.0,-3.5073409461663902,16.666666666666664,0.0,7.142857142857142,,8.333333333333332,,0.0,
AK홀딩스,2017,사업보고서,43733333.333333336,13.0,2.0,14.0,1.0,12.0,1.0,2.0,0.0,3.5108481262327476,-7.142857142857142,0.0,-6.666666666666667,0.0,-7.6923076923076925,0.0,0.0,
AK홀딩스,2018,반기보고서,53833333.333333336,13.0,5.0,18.0,0.0,13.0,0.0,5.0,0.0,23.09451219512195,0.0,150.0,28.57142857142857,-100.0,8.333333333333332,-100.0,150.0,
AK홀딩스,2018,사업보고서,56277777.777777776,15.0,3.0,17.0,1.0,14.0,1.0,3.0,0.0,4.5407636738906,15.384615384615385,-40.0,-5.555555555555555,,7.6923076923076925,,-40.0,
AK홀딩스,2019,반기보고서,43571428.571428575,12.0,2.0,13.0,1.0,11.0,1.0,2.0,0.0,-22.577915667747842,-20.0,-33.33333333333333,-23.52941176470588,0.0,-21.428571428571427,0.0,-33.33333333333333,
AK홀딩스,2019,사업보고서,34600000.0,16.0,4.0,19.0,1.0,15.0,1.0,4.0,0.0,-20.590163934426236,33.33333333333333,100.0,46.15384615384615,0.0,36.36363636363637,0.0,100.0,
AK홀딩스,2020,반기보고서,42523809.52380952,15.0,6.0,20.0,1.0,14.0,1.0,6.0,0.0,22.90118359482521,-6.25,50.0,5.263157894736842,0.0,-6.666666666666667,0.0,50.0,
AK홀딩스,2020,사업보고서,47666666.666666664,16.0,5.0,20.0,1.0,15.0,1.0,5.0,0.0,12.094064949608061,6.666666666666667,-16.666666666666664,0.0,0.0,7.142857142857142,0.0,-16.666666666666664,
AK홀딩스,2021,반기보고서,55947368.421052635,15.0,4.0,18.0,1.0,14.0,1.0,4.0,0.0,17.37210158262791,-6.25,-20.0,-10.0,0.0,-6.666666666666667,0.0,-20.0,
