종목코드,기업명,성별,사업부문,정규직,계약직,직원합,총급여,연도,보고서유형
00992871,종근당,남,-,"1,317",35,"1,353","41,806,000,000",2016,반기보고서
00992871,종근당,여,-,449,46,495,"13,346,000,000",2016,반기보고서
00992871,종근당,남,-,"1,329",44,"1,373","85,503,000,000",2016,사업보고서
00992871,종근당,여,-,462,48,510,"26,611,000,000",2016,사업보고서
00992871,종근당,남,-,"1,352",46,"1,398","44,253,000,000",2017,반기보고서
00992871,종근당,여,-,478,60,538,"13,550,000,000",2017,반기보고서
00992871,종근당,남,-,"1,466",1,"1,467","88,132,000,000",2017,사업보고서
00992871,종근당,여,-,529,10,539,"27,558,000,000",2017,사업보고서
00992871,종근당,남,-,"1,498",1,"1,499","45,692,000,000",2018,반기보고서
00992871,종근당,여,-,557,13,570,"14,797,000,000",2018,반기보고서
00992871,종근당,남,-,"1,490",2,"1,492","94,428,000,000",2018,사업보고서
00992871,종근당,여,-,595,13,608,"31,221,000,000",2018,사업보고서
00992871,종근당,남,-,"1,584",-,"1,584","55,607,000,000",2019,반기보고서
00992871,종근당,여,-,631,24,655,"17,219,000,000",2019,반기보고서
00992871,종근당,남,-,"1,574",7,"1,581","119,615,000,000",2019,사업보고서
00992871,종근당,여,-,648,14,662,"37,386,000,000",2019,사업보고서
00992871,종근당,남,-,"1,605",14,"1,619","57,723,000,000",2020,반기보고서
00992871,종근당,여,-,654,24,678,"19,451,000,000",2020,반기보고서
00992871,종근당,남,-,"1,590",3,"1,593","117,257,000,000",2020,사업보고서
00992871,종근당,여,-,673,4,677,"39,965,000,000",2020,사업보고서
00992871,종근당,남,-,"1,611",8,"1,619","60,510,000,000",2021,반기보고서
00992871,종근당,여,-,676,22,698,"21,507,000,000",2021,반기보고서
00992871,종근당,남,-,"1,660",28,"1,688","125,306,000,000",2021,사업보고서
00992871,종근당,여,-,720,28,748,"43,565,000,000",2021,사업보고서
00992871,종근당,남,-,"1,644",15,"1,659","66,022,000,000",2022,반기보고서
00992871,종근당,여,-,734,28,762,"23,531,000,000",2022,반기보고서
00992871,종근당,남,-,"1,625",14,"1,639","132,505,000,000",2022,사업보고서
00992871,종근당,여,-,736,21,757,"48,012,000,000",2022,사업보고서
00992871,종근당,남,-,"1,582",13,"1,595","65,123,000,000",2023,반기보고서
00992871,종근당,여,-,709,21,730,"24,440,000,000",2023,반기보고서
00992871,종근당,남,-,"1,585",18,"1,603","132,719,000,000",2023,사업보고서
00992871,종근당,여,-,697,24,721,"48,512,000,000",2023,사업보고서
00992871,종근당,남,-,"1,590",29,"1,619","72,272,000,000",2024,반기보고서
00992871,종근당,여,-,696,34,730,"25,203,000,000",2024,반기보고서
00992871,종근당,남,-,"1,572",34,"1,606","140,718,000,000",2024,사업보고서
00992871,종근당,여,-,691,39,730,"50,295,000,000",2024,사업보고서
00136402,신송홀딩스,남,경영지원,21,-,21,"476,000,000",2016,반기보고서
00136402,신송홀딩스,여,경영지원,3,-,3,"44,000,000",2016,반기보고서
00136402,신송홀딩스,남,경영지원,18,0,18,"802,000,000",2016,사업보고서
00136402,신송홀딩스,여,경영지원,3,0,3,"85,000,000",2016,사업보고서
00136402,신송홀딩스,남,경영지원,14,-,14,"318,000,000",2017,반기보고서
00136402,신송홀딩스,여,경영지원,2,-,2,"27,000,000",2017,반기보고서
00136402,신송홀딩스,남,경영지원,10,-,10,"491,000,000",2017,사업보고서
00136402,신송홀딩스,여,경영지원,2,-,2,"56,000,000",2017,사업보고서
00136402,신송홀딩스,남,경영지원,9,-,9,"241,000,000",2018,반기보고서
00136402,신송홀딩스,여,경영지원,1,-,1,"15,000,000",2018,반기보고서
00136402,신송홀딩스,남,경영지원,8,-,8,"448,000,000",2018,사업보고서
00136402,신송홀딩스,여,경영지원,1,-,1,"30,000,000",2018,사업보고서
00136402,신송홀딩스,남,경영지원,9,-,9,"216,000,000",2019,반기보고서
00136402,신송홀딩스,여,경영지원,1,-,1,"16,000,000",2019,반기보고서
00136402,신송홀딩스,남,홀딩스,10,-,10,"465,000,000",2019,사업보고서
00136402,신송홀딩스,여,홀딩스,1,-,1,"34,000,000",2019,사업보고서
00136402,신송홀딩스,남,홀딩스,9,-,9,"310,000,000",2020,반기보고서
00136402,신송홀딩스,여,홀딩스,1,-,1,"19,000,000",2020,반기보고서
00136402,신송홀딩스,남,홀딩스,10,-,10,"554,000,000",2020,사업보고서
00136402,신송홀딩스,여,홀딩스,1,-,1,"36,000,000",2020,사업보고서
00136402,신송홀딩스,남,홀딩스,10,-,10,"326,000,000",2021,반기보고서
00136402,신송홀딩스,여,홀딩스,1,-,1,"19,000,000",2021,반기보고서
00136402,신송홀딩스,남,홀딩스,10,-,10,"673,000,000",2021,사업보고서
00136402,신송홀딩스,여,홀딩스,1,-,1,"40,000,000",2021,사업보고서
00136402,신송홀딩스,남,홀딩스,11,-,11,"321,000,000",2022,반기보고서
00136402,신송홀딩스,여,홀딩스,2,-,2,"17,000,000",2022,반기보고서
