기업명,연도,매출액,영업이익,보고서유형
AK홀딩스,2016,1378197891715.0,96305701728.0,반기보고서
AK홀딩스,2016,1543633171902.0,117364002830.0,사업보고서
AK홀딩스,2017,1616236134021.0,120865481754.0,반기보고서
AK홀딩스,2017,1776218476484.0,144775785317.0,사업보고서
AK홀딩스,2018,1810201750293.0,153611164508.0,반기보고서
AK홀딩스,2018,1900981352458.0,116106731547.0,사업보고서
AK홀딩스,2019,1887570037402.0,107464770373.0,반기보고서
AK홀딩스,2019,1871972025108.0,23872121486.0,사업보고서
AK홀딩스,2020,1331501815202.0,-103955337556.0,반기보고서
AK홀딩스,2020,1288475403043.0,-117599479711.0,사업보고서
AK홀딩스,2021,1522248159330.0,-56854749823.0,반기보고서
AK홀딩스,2021,1645451492760.0,-108860194268.0,사업보고서
AK홀딩스,2022,1799735559179.0,-32568271508.0,반기보고서
AK홀딩스,2022,1988224296156.0,10745797881.0,사업보고서
AK홀딩스,2023,2183450230561.0,160275377900.0,반기보고서
AK홀딩스,2023,2296209911064.0,118848512658.0,사업보고서
AK홀딩스,2024,2325789636735.0,119400645136.0,반기보고서
AK홀딩스,2024,2162490896066.0,10919483273.0,사업보고서
BNK금융지주,2023,,,사업보고서
BNK금융지주,2024,,,반기보고서
BNK금융지주,2024,,,사업보고서
BYC,2016,110690038074.0,9632576338.0,반기보고서
BYC,2016,101167579658.0,6521920603.0,사업보고서
BYC,2017,91196982929.0,9951012341.0,반기보고서
BYC,2017,104618824771.0,7256985959.0,사업보고서
BYC,2018,98799851605.0,8997551730.0,반기보고서
BYC,2018,99064228747.0,12349269009.0,사업보고서
BYC,2019,79634961477.0,11307730361.0,반기보고서
BYC,2019,90954065490.0,12085956529.0,사업보고서
BYC,2020,80421934079.0,10739751293.0,반기보고서
BYC,2020,81441442928.0,12201182709.0,사업보고서
BYC,2021,74814460016.0,9299205035.0,반기보고서
BYC,2021,89631433773.0,17412141429.0,사업보고서
BYC,2022,79122500505.0,10184398306.0,반기보고서
BYC,2022,90557836364.0,15141954745.0,사업보고서
BYC,2023,78082870290.0,8873913766.0,반기보고서
BYC,2023,90318653596.0,18624480509.0,사업보고서
BYC,2024,79877357848.0,7336975261.0,반기보고서
BYC,2024,85330211093.0,16495931652.0,사업보고서
