기업명,연도,보고서유형,매출액,영업이익,매출액증감율,영업이익증감율
AK홀딩스,2016,반기보고서,1378197891715.0,96305701728.0,,
AK홀딩스,2016,사업보고서,1543633171902.0,117364002830.0,12.003739171385314,21.866100058619367
AK홀딩스,2017,반기보고서,1616236134021.0,120865481754.0,4.70338182934626,2.9834351586251193
AK홀딩스,2017,사업보고서,1776218476484.0,144775785317.0,9.898451042854937,19.782574160971063
AK홀딩스,2018,반기보고서,1810201750293.0,153611164508.0,1.9132372655119219,6.10280177148003
AK홀딩스,2018,사업보고서,1900981352458.0,116106731547.0,5.014888652621531,-24.415173910778332
AK홀딩스,2019,반기보고서,1887570037402.0,107464770373.0,-0.7054942984400636,-7.4431181197291165
AK홀딩스,2019,사업보고서,1871972025108.0,23872121486.0,-0.826354094678716,-77.78609547748333
AK홀딩스,2020,반기보고서,1331501815202.0,-103955337556.0,-28.87170335116619,-535.4675290043469
AK홀딩스,2020,사업보고서,1288475403043.0,-117599479711.0,-3.2314197147731663,13.125003944746943
AK홀딩스,2021,반기보고서,1522248159330.0,-56854749823.0,18.143361971435194,-51.65391040613429
AK홀딩스,2021,사업보고서,1645451492760.0,-108860194268.0,8.09351173623534,91.47071195793343
AK홀딩스,2022,반기보고서,1799735559179.0,-32568271508.0,9.376397122482865,-70.08247897498599
AK홀딩스,2022,사업보고서,1988224296156.0,10745797881.0,10.473135123416935,-132.994682810724
AK홀딩스,2023,반기보고서,2183450230561.0,160275377900.0,9.819110187037076,1391.5167740441889
AK홀딩스,2023,사업보고서,2296209911064.0,118848512658.0,5.164289019495,-25.847304673240146
AK홀딩스,2024,반기보고서,2325789636735.0,119400645136.0,1.2881978049338518,0.46456826901050374
AK홀딩스,2024,사업보고서,2162490896066.0,10919483273.0,-7.021217142331185,-90.85475353959565
BNK금융지주,2023,사업보고서,0.0,0.0,,
BNK금융지주,2024,반기보고서,0.0,0.0,,
BNK금융지주,2024,사업보고서,0.0,0.0,,
BYC,2016,반기보고서,110690038074.0,9632576338.0,,
BYC,2016,사업보고서,101167579658.0,6521920603.0,-8.602814292677284,-32.29308157910599
BYC,2017,반기보고서,91196982929.0,9951012341.0,-9.855525616710311,52.577943626340094
BYC,2017,사업보고서,104618824771.0,7256985959.0,14.717418724750322,-27.072887558385556
BYC,2018,반기보고서,98799851605.0,8997551730.0,-5.562070859366985,23.984692554646294
BYC,2018,사업보고서,99064228747.0,12349269009.0,0.2675886023158972,37.25143660830055
BYC,2019,반기보고서,79634961477.0,11307730361.0,-19.61279819744055,-8.434010525165005
BYC,2019,사업보고서,90954065490.0,12085956529.0,14.213737035923801,6.882249073466388
BYC,2020,반기보고서,80421934079.0,10739751293.0,-11.579615880015789,-11.138590750097508
BYC,2020,사업보고서,81441442928.0,12201182709.0,1.2676999884117646,13.607683978236423
BYC,2021,반기보고서,74814460016.0,9299205035.0,-8.13711382527778,-23.784396506573124
BYC,2021,사업보고서,89631433773.0,17412141429.0,19.80495983507895,87.24333277376758
BYC,2022,반기보고서,79122500505.0,10184398306.0,-11.724606899198843,-41.509788744089576
BYC,2022,사업보고서,90557836364.0,15141954745.0,14.452697761084238,48.67795121562874
BYC,2023,반기보고서,78082870290.0,8873913766.0,-13.77568918923426,-41.39519028129284
BYC,2023,사업보고서,90318653596.0,18624480509.0,15.670252976813309,109.87898913733933
BYC,2024,반기보고서,79877357848.0,7336975261.0,-11.560508635020685,-60.60574544640578
BYC,2024,사업보고서,85330211093.0,16495931652.0,6.826531813153269,124.83286456865703
CJ,2016,반기보고서,11566336302000.0,681100958000.0,,
CJ,2016,사업보고서,12387861095000.0,571812273000.0,7.1027226906582825,-16.045886254648316
CJ,2017,반기보고서,12854667681000.0,629357011000.0,3.7682581554648924,10.063571685527638
CJ,2017,사업보고서,14043932308000.0,696598328000.0,9.251617050807212,10.684129329576978
CJ,2018,반기보고서,14036699638000.0,642828796000.0,-0.051500319436031276,-7.718871814461202
CJ,2018,사업보고서,15486735839000.0,689646412000.0,10.330321502887173,7.283061414068949
CJ,2019,반기보고서,16248645953000.0,708483904000.0,4.91975921795795,2.731471036783992
CJ,2019,사업보고서,17531060712000.0,800670620000.0,7.892440777585081,13.011829270859481
CJ,2020,반기보고서,15634006163000.0,623015114000.0,-10.821105352179103,-22.18833832069422
CJ,2020,사업보고서,16365096784000.0,767325052000.0,4.676284589999876,23.16315202587525
CJ,2021,반기보고서,16347903609000.0,1014964617000.0,-0.1050600263898812,32.27309786830732
CJ,2021,사업보고서,18136122945000.0,866835482000.0,10.938523854615418,-14.594512214409539
CJ,2022,반기보고서,19427457819000.0,1185858720000.0,7.120236656512145,36.80320483235595
CJ,2022,사업보고서,21497421954000.0,968343070000.0,10.654837880927378,-18.3424590409893
CJ,2023,반기보고서,20067772567000.0,828234425000.0,-6.650329467687574,-14.468905632793962
CJ,2023,사업보고서,21284915592000.0,1210823464000.0,6.065162543258555,46.193327330000805
CJ,2024,반기보고서,21118776699000.0,1242505936000.0,-0.780547577376552,2.6166053881493
CJ,2024,사업보고서,22527879391000.0,1304977709000.0,6.6722742140018125,5.027885275229783
CJ CGV,2016,반기보고서,628925475004.0,18557847764.0,,
CJ CGV,2016,사업보고서,803319971643.0,51778906457.0,27.728960516011984,179.01353171699614
CJ CGV,2017,반기보고서,788142424970.0,11454966027.0,-1.8893525878558624,-77.87715730050648
CJ CGV,2017,사업보고서,926244748412.0,74787927453.0,17.52250850438063,552.8865059636199
CJ CGV,2018,반기보고서,845983075735.0,19441283724.0,-8.66527694916539,-74.00478341077475
CJ CGV,2018,사업보고서,923373391742.0,58265455101.0,9.147974495797376,199.6996285233577
CJ CGV,2019,반기보고서,946547212906.0,46975305565.0,2.509691244219327,-19.37708976344412
CJ CGV,2019,사업보고서,995732116223.0,75000085681.0,5.196244059078379,59.658537137607226
CJ CGV,2020,반기보고서,284902076845.0,-202154018926.0,-71.38767825168809,-369.53838397708967
