corp_name,시장구분,종목코드,업종,상장일,결산월,지역,corp_name,corp_code
종근당,유가,185750,의약품 제조업,2013-12-06,12월,서울특별시,종근당,"""00992871"""
신송홀딩스,유가,6880,산업용 농·축산물 및 동·식물 도매업,2013-11-21,12월,서울특별시,신송홀딩스,"""00136402"""
아세아시멘트,유가,183190,"시멘트, 석회, 플라스터 및 그 제품 제조업",2013-11-06,12월,서울특별시,아세아시멘트,"""00990165"""
현대로템,유가,64350,철도장비 제조업,2013-10-30,12월,경상남도,현대로템,"""00302926"""
한진칼,유가,180640,기타 금융업,2013-09-16,12월,서울특별시,한진칼,"""00983040"""
NHN,유가,181710,소프트웨어 개발 및 공급업,2013-08-29,12월,경기도,NHN,"""00983271"""
JB금융지주,유가,175330,기타 금융업,2013-07-18,12월,전북특별자치도,JB금융지주,"""00980122"""
DSR,유가,155660,1차 비철금속 제조업,2013-05-15,12월,부산광역시,DSR,"""00110608"""
동아에스티,유가,170900,의약품 제조업,2013-04-08,12월,서울특별시,동아에스티,"""00956930"""
지엠비코리아,유가,13870,자동차 신품 부품 제조업,2012-11-20,12월,경상남도,지엠비코리아,"""00495129"""
지엠비코리아,유가,13870,자동차 신품 부품 제조업,2012-11-20,12월,경상남도,지엠비코리아,"""00156354"""
LG헬로비전,유가,37560,텔레비전 방송업,2012-11-09,12월,서울특별시,LG헬로비전,"""00222532"""
동일고무벨트,유가,163560,고무제품 제조업,2012-10-19,12월,부산광역시,동일고무벨트,"""00939687"""
한국콜마,유가,161890,기타 화학제품 제조업,2012-10-19,12월,세종특별자치시,한국콜마,"""00939331"""
한국타이어앤테크놀로지,유가,161390,고무제품 제조업,2012-10-04,12월,경기도,한국타이어앤테크놀로지,"""00937324"""
애경케미칼,유가,161000,기초 화학물질 제조업,2012-09-17,12월,서울특별시,애경케미칼,"""00936787"""
사조씨푸드,유가,14710,수산물 가공 및 저장 처리업,2012-06-29,12월,서울특별시,사조씨푸드,"""00124780"""
휴비스,유가,79980,화학섬유 제조업,2012-02-23,12월,서울특별시,휴비스,"""00362238"""
케이탑리츠,유가,145270,부동산 임대 및 공급업,2012-01-31,12월,서울특별시,케이탑리츠,"""00861076"""
GS리테일,유가,7070,종합 소매업,2011-12-23,12월,서울특별시,GS리테일,"""00140177"""
인터지스,유가,129260,도로 화물 운송업,2011-12-16,12월,부산광역시,인터지스,"""00151368"""
삼양사,유가,145990,기타 식품 제조업,2011-12-05,12월,서울특별시,삼양사,"""00193160"""
삼양사,유가,145990,기타 식품 제조업,2011-12-05,12월,서울특별시,삼양사,"""00896285"""
하나투어,유가,39130,여행사 및 기타 여행보조 서비스업,2011-11-01,12월,서울특별시,하나투어,"""00269940"""
에이블씨엔씨,유가,78520,기타 화학제품 제조업,2011-09-07,12월,서울특별시,에이블씨엔씨,"""00400857"""
삼원강재,유가,23000,자동차 신품 부품 제조업,2011-07-22,12월,경상북도,삼원강재,"""00191588"""
신세계인터내셔날,유가,31430,"섬유, 의복, 신발 및 가죽제품 소매업",2011-07-14,12월,서울특별시,신세계인터내셔날,"""00234412"""
에이리츠,유가,140910,부동산 임대 및 공급업,2011-07-14,12월,서울특별시,에이리츠,"""00860730"""
한국항공우주,유가,47810,"항공기,우주선 및 부품 제조업",2011-06-30,12월,경상남도,한국항공우주,"""00309503"""
롯데하이마트,유가,71840,가전제품 및 정보통신장비 소매업,2011-06-29,12월,서울특별시,롯데하이마트,"""00158307"""
한세엠케이,유가,69640,"섬유, 의복, 신발 및 가죽제품 소매업",2011-06-21,12월,서울특별시,한세엠케이,"""00357360"""
코오롱ENP,유가,138490,합성고무 및 플라스틱 물질 제조업,2011-06-15,12월,경상북도,코오롱ENP,"""00241005"""
이마트,유가,139480,종합 소매업,2011-06-10,12월,서울특별시,이마트,"""00872984"""
iM금융지주,유가,139130,기타 금융업,2011-06-07,12월,대구광역시,iM금융지주,"""00878915"""
케이티스카이라이프,유가,53210,텔레비전 방송업,2011-06-03,12월,서울특별시,케이티스카이라이프,"""00349097"""
세아특수강,유가,19440,1차 철강 제조업,2011-06-01,12월,경상북도,세아특수강,"""00133991"""
메리츠금융지주,유가,138040,기타 금융업,2011-05-13,12월,서울특별시,메리츠금융지주,"""00860332"""
한국종합기술,유가,23350,"건축기술, 엔지니어링 및 관련 기술 서비스업",2011-04-28,12월,경기도,한국종합기술,"""00159500"""
BNK금융지주,유가,138930,기타 금융업,2011-03-30,12월,부산광역시,BNK금융지주,"""00858364"""
롯데에너지머티리얼즈,유가,20150,전자부품 제조업,2011-03-04,12월,전북특별자치도,롯데에너지머티리얼즈,"""00113997"""
현대위아,유가,11210,자동차 신품 부품 제조업,2011-02-21,12월,경상남도,현대위아,"""00106623"""
선진,유가,136490,동물용 사료 및 조제식품 제조업,2011-02-16,12월,경기도,선진,"""00562917"""
선진,유가,136490,동물용 사료 및 조제식품 제조업,2011-02-16,12월,경기도,선진,"""00855093"""
미원화학,유가,134380,기타 화학제품 제조업,2011-02-15,12월,울산광역시,미원화학,"""00855163"""
시디즈,유가,134790,가구 제조업,2011-01-25,12월,경기도,시디즈,"""00852087"""
한화엔진,유가,82740,일반 목적용 기계 제조업,2011-01-04,12월,경상남도,한화엔진,"""00361008"""
대성에너지,유가,117580,연료용 가스 제조 및 배관공급업,2010-12-24,12월,대구광역시,대성에너지,"""00787376"""
현대퓨처넷,유가,126560,전기 통신업,2010-12-23,12월,서울특별시,현대퓨처넷,"""00403632"""
KTis,유가,58860,기타 정보 서비스업,2010-12-17,12월,서울특별시,KTis,"""00372873"""
한전산업,유가,130660,"건축기술, 엔지니어링 및 관련 기술 서비스업",2010-12-16,12월,서울특별시,한전산업,"""00194947"""
엘브이엠씨,유가,900140,자동차 판매업,2010-11-30,12월,케이맨 제도,엘브이엠씨,"""00838500"""
미스토홀딩스,유가,81660,생활용품 도매업,2010-09-28,12월,서울특별시,미스토홀딩스,"""00195229"""
KTcs,유가,58850,기타 정보 서비스업,2010-09-16,12월,대전광역시,KTcs,"""00372882"""
현대홈쇼핑,유가,57050,무점포 소매업,2010-09-13,12월,서울특별시,현대홈쇼핑,"""00412597"""
도화엔지니어링,유가,2150,"건축기술, 엔지니어링 및 관련 기술 서비스업",2010-08-12,12월,서울특별시,도화엔지니어링,"""00114552"""
대성산업,유가,128820,연료 소매업,2010-07-30,12월,서울특별시,대성산업,"""00509079"""
대성산업,유가,128820,연료 소매업,2010-07-30,12월,서울특별시,대성산업,"""01782031"""
대성산업,유가,128820,연료 소매업,2010-07-30,12월,서울특별시,대성산업,"""00828789"""
아이마켓코리아,유가,122900,상품 종합 도매업,2010-07-30,12월,서울특별시,아이마켓코리아,"""00360142"""
한미약품,유가,128940,의약품 제조업,2010-07-30,12월,경기도,한미약품,"""00828497"""
우진,유가,105840,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",2010-07-26,12월,경기도,우진,"""01171776"""
우진,유가,105840,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",2010-07-26,12월,경기도,우진,"""00173944"""
우진,유가,105840,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",2010-07-26,12월,경기도,우진,"""01588107"""
우진,유가,105840,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",2010-07-26,12월,경기도,우진,"""01286449"""
우진,유가,105840,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",2010-07-26,12월,경기도,우진,"""01708677"""
