회사명,시장구분,종목코드,업종,상장일,결산월,지역
큐리오시스,코스닥,494120,사진장비 및 광학기기 제조업,2025-11-13,12월,서울특별시
이노테크,코스닥,469610,특수 목적용 기계 제조업,2025-11-07,12월,충청남도
노타,코스닥,486990,소프트웨어 개발 및 공급업,2025-11-03,12월,대전광역시
삼익제약,코스닥,14950,의약품 제조업,2025-10-27,12월,인천광역시
명인제약,유가,317450,의약품 제조업,2025-10-01,12월,경기도
KB제33호스팩,코스닥,0072Z0,금융 지원 서비스업,2025-09-30,12월,서울특별시
삼성스팩11호,코스닥,0071M0,금융 지원 서비스업,2025-09-30,12월,서울특별시
에스투더블유,코스닥,488280,소프트웨어 개발 및 공급업,2025-09-19,12월,경기도
오아,코스닥,342870,가전제품 및 정보통신장비 소매업,2025-09-09,12월,서울특별시
본시스템즈,코넥스,496320,특수 목적용 기계 제조업,2025-09-08,12월,경상남도
그래피,코스닥,318060,합성고무 및 플라스틱 물질 제조업,2025-08-25,12월,서울특별시
애드포러스,코스닥,397810,광고업,2025-08-22,12월,서울특별시
삼성스팩10호,코스닥,0044K0,금융 지원 서비스업,2025-08-21,12월,서울특별시
제이피아이헬스케어,코스닥,0010V0,의료용 기기 제조업,2025-08-21,12월,서울특별시
한라캐스트,코스닥,125490,자동차 신품 부품 제조업,2025-08-20,12월,인천광역시
에스엔시스,코스닥,0008Z0,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2025-08-19,12월,경기도
삼양컴텍,코스닥,484590,무기 및 총포탄 제조업,2025-08-18,12월,서울특별시
교보18호스팩,코스닥,0041B0,금융 지원 서비스업,2025-08-14,12월,서울특별시
지투지바이오,코스닥,456160,의약품 제조업,2025-08-14,12월,충청북도
아이티켐,코스닥,309710,기초 의약물질 제조업,2025-08-07,12월,충청북도
하나35호스팩,코스닥,0041L0,금융 지원 서비스업,2025-08-06,12월,서울특별시
대한조선,유가,439260,선박 및 보트 건조업,2025-08-01,12월,전라남도
프로티나,코스닥,468530,자연과학 및 공학 연구개발업,2025-07-29,12월,서울특별시
엔알비,코스닥,475230,기타 금속 가공제품 제조업,2025-07-28,12월,전북특별자치도
뉴로핏,코스닥,380550,소프트웨어 개발 및 공급업,2025-07-25,12월,서울특별시
도우인시스,코스닥,484120,전자부품 제조업,2025-07-23,12월,충청북도
디비금융제14호스팩,코스닥,0004Y0,기타 금융업,2025-07-22,12월,서울특별시
엘에스스팩1호,코스닥,0041J0,금융 지원 서비스업,2025-07-22,12월,서울특별시
아우토크립트,코스닥,331740,소프트웨어 개발 및 공급업,2025-07-15,12월,서울특별시
대신밸류리츠,유가,0030R0,신탁업 및 집합투자업,2025-07-10,08월,서울특별시
뉴키즈온,코스닥,462310,봉제의복 제조업,2025-07-09,12월,서울특별시
싸이닉솔루션,코스닥,234030,반도체 제조업,2025-07-07,12월,경기도
KB제32호스팩,코스닥,0037T0,금융 지원 서비스업,2025-07-04,12월,서울특별시
뉴엔AI,코스닥,463020,소프트웨어 개발 및 공급업,2025-07-04,12월,경기도
지에프씨생명과학,코스닥,388610,기타 화학제품 제조업,2025-06-30,12월,경기도
케이지에이,코스닥,455180,특수 목적용 기계 제조업,2025-06-17,12월,경기도
지씨지놈,코스닥,340450,"그외 기타 전문, 과학 및 기술 서비스업",2025-06-11,12월,경기도
링크솔루션,코스닥,474650,특수 목적용 기계 제조업,2025-06-10,12월,경기도
키스트론,코스닥,475430,절연선 및 케이블 제조업,2025-06-02,12월,경기도
신한제16호스팩,코스닥,496070,금융 지원 서비스업,2025-05-29,12월,서울특별시
인투셀,코스닥,287840,자연과학 및 공학 연구개발업,2025-05-23,12월,대전광역시
달바글로벌,유가,483650,기타 화학제품 제조업,2025-05-22,12월,서울특별시
바이오비쥬,코스닥,489460,기타 화학제품 제조업,2025-05-20,12월,경기도
이뮨온시아,코스닥,424870,자연과학 및 공학 연구개발업,2025-05-19,12월,경기도
바이오포트,코스닥,188040,기타 식품 제조업,2025-05-16,12월,부산광역시
티씨머티리얼즈,코스닥,125020,절연선 및 케이블 제조업,2025-05-15,12월,울산광역시
로킷헬스케어,코스닥,376900,의료용품 및 기타 의약 관련제품 제조업,2025-05-12,12월,서울특별시
오가노이드사이언스,코스닥,476040,자연과학 및 공학 연구개발업,2025-05-09,12월,경기도
원일티엔아이,코스닥,136150,일반 목적용 기계 제조업,2025-05-09,12월,경기도
나우로보틱스,코스닥,459510,특수 목적용 기계 제조업,2025-05-08,12월,인천광역시
에이아이코리아,코스닥,364950,특수 목적용 기계 제조업,2025-04-29,12월,경기도
쎄크,코스닥,81180,일반 목적용 기계 제조업,2025-04-28,12월,경기도
한국피아이엠,코스닥,448900,자동차 신품 부품 제조업,2025-04-04,12월,대구광역시
에이유브랜즈,코스닥,481070,"섬유, 의복, 신발 및 가죽제품 소매업",2025-04-03,12월,서울특별시
우양에이치씨,코스닥,101970,"구조용 금속제품, 탱크 및 증기발생기 제조업",2025-03-28,12월,경기도
더즌,코스닥,462860,전기 통신업,2025-03-24,12월,서울특별시
심플랫폼,코스닥,444530,소프트웨어 개발 및 공급업,2025-03-21,12월,서울특별시
티엑스알로보틱스,코스닥,484810,일반 목적용 기계 제조업,2025-03-20,12월,경기도
한텍,코스닥,98070,일반 목적용 기계 제조업,2025-03-20,12월,울산광역시
한화플러스제5호스팩,코스닥,498390,금융 지원 서비스업,2025-03-20,12월,서울특별시
씨케이솔루션,유가,480370,"건축기술, 엔지니어링 및 관련 기술 서비스업",2025-03-17,12월,경기도
서울보증보험,유가,31210,보험업,2025-03-14,12월,서울특별시
에스엠씨지,코스닥,460870,유리 및 유리제품 제조업,2025-03-07,12월,경기도
엠디바이스,코스닥,226590,전자부품 제조업,2025-03-07,12월,경기도
대진첨단소재,코스닥,393970,플라스틱제품 제조업,2025-03-06,12월,서울특별시
에르코스,코스닥,435570,도시락 및 식사용 조리식품 제조업,2025-02-28,12월,대전광역시
엘케이켐,코스닥,489500,기타 화학제품 제조업,2025-02-25,12월,충청남도
위너스,코스닥,479960,기타 전기장비 제조업,2025-02-24,12월,
모티브링크,코스닥,463480,전자부품 제조업,2025-02-20,12월,경기도
동국생명과학,코스닥,303810,의약품 제조업,2025-02-17,12월,서울특별시
오름테라퓨틱,코스닥,475830,기초 의약물질 제조업,2025-02-14,12월,대전광역시
동방메디컬,코스닥,240550,의료용 기기 제조업,2025-02-13,12월,충청남도
아이에스티이,코스닥,212710,반도체 제조업,2025-02-12,12월,경기도
LG씨엔에스,유가,64400,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",2025-02-05,12월,서울특별시
아이지넷,코스닥,462980,기타 정보 서비스업,2025-02-04,12월,서울특별시
피아이이,코스닥,452450,특수 목적용 기계 제조업,2025-02-04,12월,경기도
삼양엔씨켐,코스닥,482630,기타 화학제품 제조업,2025-02-03,12월,경기도
데이원컴퍼니,코스닥,373160,기타 교육기관,2025-01-24,12월,서울특별시
아스테라시스,코스닥,450950,의료용 기기 제조업,2025-01-24,12월,서울특별시
와이즈넛,코스닥,96250,소프트웨어 개발 및 공급업,2025-01-24,12월,경기도
미트박스,코스닥,475460,기타 정보 서비스업,2025-01-23,12월,서울특별시
유안타제17호스팩,코스닥,493790,금융 지원 서비스업,2025-01-23,12월,서울특별시
블랙야크아이앤씨,코스닥,478560,신발 및 신발 부분품 제조업,2025-01-21,12월,서울특별시
오션스바이오,코넥스,332190,의료용 기기 제조업,2025-01-14,12월,경상남도
엠에프씨,코스닥,432980,기초 의약물질 제조업,2024-12-26,12월,경기도
파인메딕스,코스닥,387570,의료용 기기 제조업,2024-12-26,12월,대구광역시
쓰리에이로직스,코스닥,177900,반도체 제조업,2024-12-24,12월,경기도
GS피앤엘,유가,499790,기타 금융업,2024-12-23,12월,서울특별시
신한제14호스팩,코스닥,487360,금융 지원 서비스업,2024-12-23,12월,서울특별시
유비씨,코넥스,495810,소프트웨어 개발 및 공급업,2024-12-23,12월,경기도
창대정밀,코넥스,368030,특수 목적용 기계 제조업,2024-12-23,12월,경기도
듀켐바이오,코스닥,176750,의약품 제조업,2024-12-20,12월,서울특별시
키움제10호스팩,코스닥,487720,금융 지원 서비스업,2024-12-20,12월,서울특별시
에스지헬스케어,코스닥,398120,의료용 기기 제조업,2024-12-19,12월,경기도
온코닉테라퓨틱스,코스닥,476060,자연과학 및 공학 연구개발업,2024-12-19,12월,서울특별시
온코크로스,코스닥,382150,자연과학 및 공학 연구개발업,2024-12-18,12월,서울특별시
벡트,코스닥,457600,영상 및 음향기기 제조업,2024-12-16,12월,서울특별시
엠앤씨솔루션,유가,484870,특수 목적용 기계 제조업,2024-12-16,12월,경상남도
셀로맥스사이언스,코스닥,471820,기타 식품 제조업,2024-12-13,12월,경기도
에이엠시지,코넥스,495900,의료용 기기 제조업,2024-12-13,12월,서울특별시
KB제31호스팩,코스닥,492220,금융 지원 서비스업,2024-12-12,12월,서울특별시
키움제11호스팩,코스닥,489480,금융 지원 서비스업,2024-12-11,12월,서울특별시
KB발해인프라,유가,415640,신탁업 및 집합투자업,2024-11-29,12월,서울특별시
디비금융제13호스팩,코스닥,489730,기타 금융업,2024-11-28,12월,서울특별시
교보17호스팩,코스닥,489210,금융 지원 서비스업,2024-11-21,12월,서울특별시
대신밸런스제19호스팩,코스닥,482690,금융 지원 서비스업,2024-11-20,12월,서울특별시
위츠,코스닥,459100,전자부품 제조업,2024-11-20,12월,경기도
유디엠텍,코스닥,389680,소프트웨어 개발 및 공급업,2024-11-20,12월,경기도
RF시스템즈,코스닥,474610,기타 금속 가공제품 제조업,2024-11-19,12월,경기도
사이냅소프트,코스닥,466410,소프트웨어 개발 및 공급업,2024-11-19,12월,서울특별시
하나34호스팩,코스닥,484130,금융 지원 서비스업,2024-11-19,12월,서울특별시
에스켐,코스닥,475660,기타 화학제품 제조업,2024-11-18,12월,충청북도
엠오티,코스닥,413390,특수 목적용 기계 제조업,2024-11-18,12월,경상남도
신한제15호스팩,코스닥,487830,금융 지원 서비스업,2024-11-15,12월,서울특별시
쓰리빌리언,코스닥,394800,자연과학 및 공학 연구개발업,2024-11-14,12월,서울특별시
닷밀,코스닥,464580,"영화, 비디오물, 방송프로그램 제작 및 배급업",2024-11-13,12월,서울특별시
노머스,코스닥,473980,창작 및 예술관련 서비스업,2024-11-12,12월,서울특별시
에어레인,코스닥,163280,일반 목적용 기계 제조업,2024-11-08,12월,충청북도
토모큐브,코스닥,475960,사진장비 및 광학기기 제조업,2024-11-07,12월,대전광역시
더본코리아,유가,475560,상품 종합 도매업,2024-11-06,12월,서울특별시
에이치이엠파마,코스닥,376270,자연과학 및 공학 연구개발업,2024-11-05,12월,경기도
에이럭스,코스닥,475580,그외 기타 제품 제조업,2024-11-01,12월,서울특별시
탑런토탈솔루션,코스닥,336680,전자부품 제조업,2024-11-01,12월,경상북도
성우,코스닥,458650,일차전지 및 이차전지 제조업,2024-10-31,12월,경상북도
유진스팩11호,코스닥,488060,금융 지원 서비스업,2024-10-31,12월,서울특별시
타조이엔터테인먼트,코넥스,476710,창작 및 예술관련 서비스업,2024-10-30,12월,서울특별시
클로봇,코스닥,466100,소프트웨어 개발 및 공급업,2024-10-28,12월,경기도
에이치엔에스하이텍,코스닥,44990,전자부품 제조업,2024-10-25,12월,대전광역시
웨이비스,코스닥,289930,반도체 제조업,2024-10-25,12월,경기도
씨메스,코스닥,475400,특수 목적용 기계 제조업,2024-10-24,12월,서울특별시
한켐,코스닥,457370,기초 화학물질 제조업,2024-10-22,12월,대전광역시
루미르,코스닥,474170,"항공기,우주선 및 부품 제조업",2024-10-21,12월,경기도
와이제이링크,코스닥,209640,특수 목적용 기계 제조업,2024-10-18,12월,대구광역시
인스피언,코스닥,465480,소프트웨어 개발 및 공급업,2024-10-18,12월,서울특별시
셀비온,코스닥,308430,의약품 제조업,2024-10-16,12월,서울특별시
제닉스로보틱스,코스닥,381620,특수 목적용 기계 제조업,2024-09-30,12월,충청남도
차이커뮤니케이션,코스닥,351870,광고업,2024-09-27,12월,서울특별시
